timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1643127974895,21,HomePage-2,200,OK,Users 1-18,text,true,,83982,153,61,61,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,8,0,4
1643127974916,525,HomePage-3,200,OK,Users 1-18,text,true,,28981,134,61,61,https://blazedemo.com/assets/bootstrap.min.js,416,0,0
1643127975441,204,HomePage-4,200,OK,Users 1-18,text,true,,39488,136,61,61,https://blazedemo.com/assets/bootstrap-table.js,154,0,0
1643127975645,1419,HomePage-5,200,OK,Users 1-18,text,true,,126767,135,61,61,https://blazedemo.com/assets/bootstrap.min.css,1256,0,0
1643127977064,154,HomePage-6,200,OK,Users 1-18,text,true,,4067,137,61,61,https://blazedemo.com/assets/bootstrap-table.css,153,0,0
1643127974729,2508,HomePage,200,OK,Users 1-26,text,true,,286732,917,61,61,https://blazedemo.com/,144,0,4
1643127974729,144,HomePage-0,302,Found,Users 1-26,text,true,,219,111,61,61,http://blazedemo.com/,144,0,4
1643127974874,1176,HomePage-1,200,OK,Users 1-26,text,true,,3228,111,61,61,https://blazedemo.com/,1176,0,129
1643127976052,29,HomePage-2,200,OK,Users 1-26,text,true,,83982,153,61,61,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,14,0,7
1643127976081,270,HomePage-3,200,OK,Users 1-26,text,true,,28981,134,61,61,https://blazedemo.com/assets/bootstrap.min.js,151,0,0
1643127976351,314,HomePage-4,200,OK,Users 1-26,text,true,,39488,136,61,61,https://blazedemo.com/assets/bootstrap-table.js,259,0,0
1643127976665,313,HomePage-5,200,OK,Users 1-26,text,true,,126767,135,61,61,https://blazedemo.com/assets/bootstrap.min.css,153,0,0
1643127976979,258,HomePage-6,200,OK,Users 1-26,text,true,,4067,137,61,61,https://blazedemo.com/assets/bootstrap-table.css,256,0,0
1643127975580,1659,HomePage,200,OK,Users 1-43,text,true,,286732,917,61,61,https://blazedemo.com/,152,0,5
1643127975580,152,HomePage-0,302,Found,Users 1-43,text,true,,219,111,61,61,http://blazedemo.com/,152,0,5
1643127975732,449,HomePage-1,200,OK,Users 1-43,text,true,,3228,111,61,61,https://blazedemo.com/,449,0,138
1643127976182,48,HomePage-2,200,OK,Users 1-43,text,true,,83982,153,61,61,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,29,0,15
1643127976230,263,HomePage-3,200,OK,Users 1-43,text,true,,28981,134,61,61,https://blazedemo.com/assets/bootstrap.min.js,148,0,0
1643127976493,201,HomePage-4,200,OK,Users 1-43,text,true,,39488,136,61,61,https://blazedemo.com/assets/bootstrap-table.js,148,0,0
1643127976695,310,HomePage-5,200,OK,Users 1-43,text,true,,126767,135,61,61,https://blazedemo.com/assets/bootstrap.min.css,148,0,0
